word,nFix,FFD,GPT,TRT,fixProp
the,8.089145005701441,2.0375601377650074,3.2791836459005346,2.620189624418948,46.25020340554451
of,5.558040477498755,1.4922213352210014,2.538022173713437,1.7917821405482721,33.937490750764965
and,7.6388617597501485,1.941896341998109,3.306893849937905,2.4508171628124815,44.722639459739355
be,10.316605181117485,2.4803270183830257,3.7856313234325123,3.460928418410012,55.30587543887184
a,5.309940123892852,1.4917825829067382,2.4474438063030712,1.7757134238729906,32.82998300075892
in,5.313664512862171,1.4895533405967079,2.4662162645813663,1.7984411469018908,32.37951866406829
to,5.855911589007415,1.600083078549915,2.612958892575932,1.9230111228630409,35.59302715762195
he,4.752511407109332,1.3155026665327125,1.7975526904347618,1.654981125800843,27.92041172191935
his,8.315932228862243,2.1571612819657804,3.548686637839195,2.826391913545514,46.982225499474026
as,7.579841255947241,2.050190325827965,3.0097437511802454,2.61684536386457,43.53750568348016
it,5.647365465229852,1.5900624322861885,2.4846654705736824,1.9379087534607615,34.25436029564693
for,8.221831224147937,2.1188205426173243,3.731194558576404,2.7333010035318823,46.427994550855814
with,10.97728441079673,2.484408835598556,4.423785001943478,3.565742401091209,56.59302338084211
that,10.991788664482545,2.6779364835689035,4.5289098746517125,3.660894305362405,59.787914643391304
on,6.963503700581409,1.890002435231434,3.029323546071055,2.3492675382335544,41.14479343941819
an,7.616014737010644,2.015802587355961,3.3062732607905954,2.519433991769248,45.11104273739107
from,11.893221672918601,2.945596211053074,4.749497041094467,4.026159414519029,63.79890064796513
at,6.260995813958647,1.7493339307100282,2.952705451724402,2.1496876756201075,37.650947026151485
by,6.647819933339436,1.6559692043724012,2.487437417479245,2.168389499578126,38.066956806264955
but,7.951351674320943,2.106612472577334,3.0603658625456216,2.594107500597556,47.47815517127551
this,10.376331738330759,2.6710814702335517,4.507092791817906,3.6571523238062817,55.517210280141335
movi,17.23657502492224,3.8467963084175976,6.9275664743400895,5.989422253909548,82.16174889382405
film,12.428055799434201,3.1200343475585877,6.1469272337925736,4.355230938737861,66.13999964526747
who,10.467809660166449,2.555317586741027,4.4993677030934185,3.398913994694698,57.8900221105945
one,11.711669813675472,2.878647358144137,5.047074921103009,3.8884672791159796,63.314124108368524
bush,13.102856163987868,3.1845253122207944,6.536824065287262,4.47598369919514,67.9216096051796
she,9.307459624166873,2.098360672841667,3.30180974248793,3.3194508019197655,46.57079477336634
presid,21.496386391179076,4.059178288199198,8.393608046158,7.2384722324912945,87.137645716149
has,11.618252108331616,2.586801956569025,3.9852024017738783,3.858717704851283,58.414048075981825
have,13.657865561178612,3.2302598083916627,4.9868251511829325,4.4495904805234225,72.88142866574238
after,11.215592276224832,2.740824119036638,4.028339295568265,3.813391056176764,58.77621876146679
her,9.930095479392214,2.583522842302116,5.058707088029814,3.4471741193006125,54.43734086205964
american,22.013341840570376,3.8497406118450854,8.616740617140195,6.9567162974207415,88.88823322860064
new,13.776565023116834,3.2839844128653675,5.953435187559053,4.6339628348897435,71.31264157930165
not,10.171932039850137,2.5318944833338928,3.6014545579468455,3.4434091182584394,56.69030569385539
also,13.139385743848218,3.1302893564733743,4.744462332929037,4.509246269447909,68.0838724465753
state,14.212573543202344,3.242655789387738,6.048292405464575,4.643876376885193,71.88618843030609
most,13.964513420693041,2.967490575613633,4.504696229546564,4.461191831916254,69.50767958627998
work,17.437283309494262,3.775137424835555,7.393690482163652,5.901886767417719,80.64825382269599
year,12.047190481440191,2.951504863369268,7.594373583922479,4.035028759011789,63.82020401295574
had,13.213459537863258,3.2432412097006775,5.000793611965852,4.407328557324094,71.03023754900023
like,12.424105831813742,2.6239257217479643,4.580919048719641,4.223937213649816,57.76350102330495
born,15.139869469449106,3.3631483004738905,5.068883308833056,4.951250754417753,75.50556628375256
first,14.091650929099345,3.5553357928136147,5.813222608441936,4.853301991282449,73.65439017822384
